Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,Petal Ratio,Sepal Ratio,Area Ratio
1,5.1,3.5,1.4,0.2,Iris-setosa,6.999999999999999,1.0,0.01568627450980392
2,4.9,3.0,1.4,0.2,Iris-setosa,6.999999999999999,1.0,0.019047619047619046
3,4.7,3.2,1.3,0.2,Iris-setosa,6.5,1.0,0.017287234042553192
4,4.6,3.1,1.5,0.2,Iris-setosa,7.5,1.0,0.02103786816269285
5,5.0,3.6,1.4,0.2,Iris-setosa,6.999999999999999,1.0,0.015555555555555553
6,5.4,3.9,1.7,0.4,Iris-setosa,4.25,1.0,0.03228869895536562
7,4.6,3.4,1.4,0.3,Iris-setosa,4.666666666666667,1.0,0.026854219948849106
8,5.0,3.4,1.5,0.2,Iris-setosa,7.5,1.0,0.017647058823529415
9,4.4,2.9,1.4,0.2,Iris-setosa,6.999999999999999,1.0,0.021943573667711595
10,4.9,3.1,1.5,0.1,Iris-setosa,15.0,1.0,0.009874917709019092
11,5.4,3.7,1.5,0.2,Iris-setosa,7.5,1.0,0.015015015015015015
12,4.8,3.4,1.6,0.2,Iris-setosa,8.0,1.0,0.019607843137254905
13,4.8,3.0,1.4,0.1,Iris-setosa,13.999999999999998,1.0,0.009722222222222222
14,4.3,3.0,1.1,0.1,Iris-setosa,11.0,1.0,0.008527131782945738
15,5.8,4.0,1.2,0.2,Iris-setosa,5.999999999999999,1.0,0.010344827586206896
16,5.7,4.4,1.5,0.4,Iris-setosa,3.75,1.0,0.02392344497607656
17,5.4,3.9,1.3,0.4,Iris-setosa,3.25,1.0,0.024691358024691357
18,5.1,3.5,1.4,0.3,Iris-setosa,4.666666666666667,1.0,0.023529411764705885
19,5.7,3.8,1.7,0.3,Iris-setosa,5.666666666666667,1.0,0.023545706371191136
20,5.1,3.8,1.5,0.3,Iris-setosa,5.0,1.0,0.023219814241486066
21,5.4,3.4,1.7,0.2,Iris-setosa,8.5,1.0,0.01851851851851852
22,5.1,3.7,1.5,0.4,Iris-setosa,3.75,1.0,0.031796502384737683
23,4.6,3.6,1.0,0.2,Iris-setosa,5.0,1.0,0.01207729468599034
24,5.1,3.3,1.7,0.5,Iris-setosa,3.4,1.0,0.05050505050505051
25,4.8,3.4,1.9,0.2,Iris-setosa,9.499999999999998,1.0,0.023284313725490197
26,5.0,3.0,1.6,0.2,Iris-setosa,8.0,1.0,0.021333333333333336
27,5.0,3.4,1.6,0.4,Iris-setosa,4.0,1.0,0.03764705882352942
28,5.2,3.5,1.5,0.2,Iris-setosa,7.5,1.0,0.016483516483516487
29,5.2,3.4,1.4,0.2,Iris-setosa,6.999999999999999,1.0,0.01583710407239819
30,4.7,3.2,1.6,0.2,Iris-setosa,8.0,1.0,0.021276595744680854
31,4.8,3.1,1.6,0.2,Iris-setosa,8.0,1.0,0.021505376344086027
32,5.4,3.4,1.5,0.4,Iris-setosa,3.75,1.0,0.03267973856209151
33,5.2,4.1,1.5,0.1,Iris-setosa,15.0,1.0,0.007035647279549719
34,5.5,4.2,1.4,0.2,Iris-setosa,6.999999999999999,1.0,0.01212121212121212
35,4.9,3.1,1.5,0.2,Iris-setosa,7.5,1.0,0.019749835418038184
36,5.0,3.2,1.2,0.2,Iris-setosa,5.999999999999999,1.0,0.015
37,5.5,3.5,1.3,0.2,Iris-setosa,6.5,1.0,0.013506493506493506
38,4.9,3.6,1.4,0.1,Iris-setosa,13.999999999999998,1.0,0.007936507936507936
39,4.4,3.0,1.3,0.2,Iris-setosa,6.5,1.0,0.019696969696969695
40,5.1,3.4,1.5,0.2,Iris-setosa,7.5,1.0,0.01730103806228374
41,5.0,3.5,1.3,0.3,Iris-setosa,4.333333333333334,1.0,0.022285714285714287
42,4.5,2.3,1.3,0.3,Iris-setosa,4.333333333333334,1.0,0.03768115942028986
43,4.4,3.2,1.3,0.2,Iris-setosa,6.5,1.0,0.01846590909090909
44,5.0,3.5,1.6,0.6,Iris-setosa,2.666666666666667,1.0,0.054857142857142854
45,5.1,3.8,1.9,0.4,Iris-setosa,4.749999999999999,1.0,0.0392156862745098
46,4.8,3.0,1.4,0.3,Iris-setosa,4.666666666666667,1.0,0.029166666666666667
47,5.1,3.8,1.6,0.2,Iris-setosa,8.0,1.0,0.016511867905056765
48,4.6,3.2,1.4,0.2,Iris-setosa,6.999999999999999,1.0,0.019021739130434784
49,5.3,3.7,1.5,0.2,Iris-setosa,7.5,1.0,0.01529831718510964
50,5.0,3.3,1.4,0.2,Iris-setosa,6.999999999999999,1.0,0.016969696969696968
51,7.0,3.2,4.7,1.4,Iris-versicolor,3.3571428571428577,1.0,0.29374999999999996
52,6.4,3.2,4.5,1.5,Iris-versicolor,3.0,1.0,0.32958984374999994
53,6.9,3.1,4.9,1.5,Iris-versicolor,3.266666666666667,1.0,0.3436185133239832
54,5.5,2.3,4.0,1.3,Iris-versicolor,3.0769230769230766,1.0,0.4110671936758894
55,6.5,2.8,4.6,1.5,Iris-versicolor,3.0666666666666664,1.0,0.3791208791208791
56,5.7,2.8,4.5,1.3,Iris-versicolor,3.4615384615384612,1.0,0.3665413533834587
57,6.3,3.3,4.7,1.6,Iris-versicolor,2.9375,1.0,0.36171236171236176
58,4.9,2.4,3.3,1.0,Iris-versicolor,3.3,1.0,0.28061224489795916
59,6.6,2.9,4.6,1.3,Iris-versicolor,3.538461538461538,1.0,0.3124346917450366
60,5.2,2.7,3.9,1.4,Iris-versicolor,2.785714285714286,1.0,0.38888888888888884
61,5.0,2.0,3.5,1.0,Iris-versicolor,3.5,1.0,0.35
62,5.9,3.0,4.2,1.5,Iris-versicolor,2.8000000000000003,1.0,0.3559322033898305
63,6.0,2.2,4.0,1.0,Iris-versicolor,4.0,1.0,0.303030303030303
64,6.1,2.9,4.7,1.4,Iris-versicolor,3.3571428571428577,1.0,0.37196156020350485
65,5.6,2.9,3.6,1.3,Iris-versicolor,2.769230769230769,1.0,0.2881773399014779
66,6.7,3.1,4.4,1.4,Iris-versicolor,3.1428571428571432,1.0,0.2965816080885893
67,5.6,3.0,4.5,1.5,Iris-versicolor,3.0,1.0,0.40178571428571436
68,5.8,2.7,4.1,1.0,Iris-versicolor,4.1,1.0,0.2618135376756066
69,6.2,2.2,4.5,1.5,Iris-versicolor,3.0,1.0,0.49486803519061573
70,5.6,2.5,3.9,1.1,Iris-versicolor,3.545454545454545,1.0,0.30642857142857144
71,5.9,3.2,4.8,1.8,Iris-versicolor,2.6666666666666665,1.0,0.45762711864406774
72,6.1,2.8,4.0,1.3,Iris-versicolor,3.0769230769230766,1.0,0.30444964871194385
73,6.3,2.5,4.9,1.5,Iris-versicolor,3.266666666666667,1.0,0.4666666666666667
74,6.1,2.8,4.7,1.2,Iris-versicolor,3.916666666666667,1.0,0.3302107728337237
75,6.4,2.9,4.3,1.3,Iris-versicolor,3.3076923076923075,1.0,0.30118534482758624
76,6.6,3.0,4.4,1.4,Iris-versicolor,3.1428571428571432,1.0,0.31111111111111117
77,6.8,2.8,4.8,1.4,Iris-versicolor,3.428571428571429,1.0,0.35294117647058826
78,6.7,3.0,5.0,1.7,Iris-versicolor,2.9411764705882355,1.0,0.42288557213930345
79,6.0,2.9,4.5,1.5,Iris-versicolor,3.0,1.0,0.3879310344827587
80,5.7,2.6,3.5,1.0,Iris-versicolor,3.5,1.0,0.23616734143049933
81,5.5,2.4,3.8,1.1,Iris-versicolor,3.454545454545454,1.0,0.31666666666666665
82,5.5,2.4,3.7,1.0,Iris-versicolor,3.7,1.0,0.28030303030303033
83,5.8,2.7,3.9,1.2,Iris-versicolor,3.25,1.0,0.29885057471264365
84,6.0,2.7,5.1,1.6,Iris-versicolor,3.1874999999999996,1.0,0.5037037037037037
85,5.4,3.0,4.5,1.5,Iris-versicolor,3.0,1.0,0.4166666666666666
86,6.0,3.4,4.5,1.6,Iris-versicolor,2.8125,1.0,0.35294117647058826
87,6.7,3.1,4.7,1.5,Iris-versicolor,3.1333333333333333,1.0,0.33943187289359655
88,6.3,2.3,4.4,1.3,Iris-versicolor,3.3846153846153846,1.0,0.39475500345065573
89,5.6,3.0,4.1,1.3,Iris-versicolor,3.1538461538461533,1.0,0.3172619047619048
90,5.5,2.5,4.0,1.3,Iris-versicolor,3.0769230769230766,1.0,0.3781818181818182
91,5.5,2.6,4.4,1.2,Iris-versicolor,3.666666666666667,1.0,0.36923076923076925
92,6.1,3.0,4.6,1.4,Iris-versicolor,3.2857142857142856,1.0,0.351912568306011
93,5.8,2.6,4.0,1.2,Iris-versicolor,3.3333333333333335,1.0,0.3183023872679045
94,5.0,2.3,3.3,1.0,Iris-versicolor,3.3,1.0,0.28695652173913044
95,5.6,2.7,4.2,1.3,Iris-versicolor,3.230769230769231,1.0,0.36111111111111116
96,5.7,3.0,4.2,1.2,Iris-versicolor,3.5000000000000004,1.0,0.29473684210526313
97,5.7,2.9,4.2,1.3,Iris-versicolor,3.230769230769231,1.0,0.33030852994555354
98,6.2,2.9,4.3,1.3,Iris-versicolor,3.3076923076923075,1.0,0.31090100111234703
99,5.1,2.5,3.0,1.1,Iris-versicolor,2.727272727272727,1.0,0.25882352941176473
100,5.7,2.8,4.1,1.3,Iris-versicolor,3.1538461538461533,1.0,0.33395989974937346
101,6.3,3.3,6.0,2.5,Iris-virginica,2.4,1.0,0.7215007215007215
102,5.8,2.7,5.1,1.9,Iris-virginica,2.6842105263157894,1.0,0.6187739463601533
103,7.1,3.0,5.9,2.1,Iris-virginica,2.8095238095238098,1.0,0.5816901408450705
104,6.3,2.9,5.6,1.8,Iris-virginica,3.1111111111111107,1.0,0.5517241379310345
105,6.5,3.0,5.8,2.2,Iris-virginica,2.6363636363636362,1.0,0.6543589743589744
106,7.6,3.0,6.6,2.1,Iris-virginica,3.1428571428571423,1.0,0.6078947368421053
107,4.9,2.5,4.5,1.7,Iris-virginica,2.6470588235294117,1.0,0.6244897959183673
108,7.3,2.9,6.3,1.8,Iris-virginica,3.5,1.0,0.5356636750118092
109,6.7,2.5,5.8,1.8,Iris-virginica,3.222222222222222,1.0,0.6232835820895523
110,7.2,3.6,6.1,2.5,Iris-virginica,2.44,1.0,0.5883487654320987
111,6.5,3.2,5.1,2.0,Iris-virginica,2.55,1.0,0.4903846153846153
112,6.4,2.7,5.3,1.9,Iris-virginica,2.7894736842105265,1.0,0.5827546296296295
113,6.8,3.0,5.5,2.1,Iris-virginica,2.619047619047619,1.0,0.5661764705882354
114,5.7,2.5,5.0,2.0,Iris-virginica,2.5,1.0,0.7017543859649122
115,5.8,2.8,5.1,2.4,Iris-virginica,2.125,1.0,0.7536945812807881
116,6.4,3.2,5.3,2.3,Iris-virginica,2.3043478260869565,1.0,0.5952148437499999
117,6.5,3.0,5.5,1.8,Iris-virginica,3.0555555555555554,1.0,0.5076923076923077
118,7.7,3.8,6.7,2.2,Iris-virginica,3.0454545454545454,1.0,0.5037593984962407
119,7.7,2.6,6.9,2.3,Iris-virginica,3.0000000000000004,1.0,0.7927072927072927
120,6.0,2.2,5.0,1.5,Iris-virginica,3.3333333333333335,1.0,0.5681818181818181
121,6.9,3.2,5.7,2.3,Iris-virginica,2.4782608695652177,1.0,0.5937499999999999
122,5.6,2.8,4.9,2.0,Iris-virginica,2.45,1.0,0.6250000000000001
123,7.7,2.8,6.7,2.0,Iris-virginica,3.35,1.0,0.6215213358070502
124,6.3,2.7,4.9,1.8,Iris-virginica,2.7222222222222223,1.0,0.5185185185185185
125,6.7,3.3,5.7,2.1,Iris-virginica,2.7142857142857144,1.0,0.5413839891451833
126,7.2,3.2,6.0,1.8,Iris-virginica,3.333333333333333,1.0,0.46875
127,6.2,2.8,4.8,1.8,Iris-virginica,2.6666666666666665,1.0,0.4976958525345623
128,6.1,3.0,4.9,1.8,Iris-virginica,2.7222222222222223,1.0,0.4819672131147542
129,6.4,2.8,5.6,2.1,Iris-virginica,2.6666666666666665,1.0,0.6562500000000001
130,7.2,3.0,5.8,1.6,Iris-virginica,3.6249999999999996,1.0,0.4296296296296296
131,7.4,2.8,6.1,1.9,Iris-virginica,3.2105263157894735,1.0,0.5593629343629343
132,7.9,3.8,6.4,2.0,Iris-virginica,3.2,1.0,0.42638241172551633
133,6.4,2.8,5.6,2.2,Iris-virginica,2.545454545454545,1.0,0.6875000000000001
134,6.3,2.8,5.1,1.5,Iris-virginica,3.4,1.0,0.43367346938775514
135,6.1,2.6,5.6,1.4,Iris-virginica,4.0,1.0,0.49432534678436313
136,7.7,3.0,6.1,2.3,Iris-virginica,2.6521739130434785,1.0,0.6073593073593072
137,6.3,3.4,5.6,2.4,Iris-virginica,2.3333333333333335,1.0,0.6274509803921569
138,6.4,3.1,5.5,1.8,Iris-virginica,3.0555555555555554,1.0,0.4989919354838709
139,6.0,3.0,4.8,1.8,Iris-virginica,2.6666666666666665,1.0,0.48000000000000004
140,6.9,3.1,5.4,2.1,Iris-virginica,2.5714285714285716,1.0,0.5301542776998598
141,6.7,3.1,5.6,2.4,Iris-virginica,2.3333333333333335,1.0,0.6470871449205585
142,6.9,3.1,5.1,2.3,Iris-virginica,2.217391304347826,1.0,0.5483870967741935
143,5.8,2.7,5.1,1.9,Iris-virginica,2.6842105263157894,1.0,0.6187739463601533
144,6.8,3.2,5.9,2.3,Iris-virginica,2.565217391304348,1.0,0.6236213235294117
145,6.7,3.3,5.7,2.5,Iris-virginica,2.2800000000000002,1.0,0.644504748982361
146,6.7,3.0,5.2,2.3,Iris-virginica,2.2608695652173916,1.0,0.5950248756218904
147,6.3,2.5,5.0,1.9,Iris-virginica,2.6315789473684212,1.0,0.6031746031746031
148,6.5,3.0,5.2,2.0,Iris-virginica,2.6,1.0,0.5333333333333333
149,6.2,3.4,5.4,2.3,Iris-virginica,2.347826086956522,1.0,0.5891840607210627
150,5.9,3.0,5.1,1.8,Iris-virginica,2.833333333333333,1.0,0.5186440677966101
